name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
activation-1.0.2.jar,CDDL-1.0,"",,,,,,
aopalliance-1.0.0.jar,Public Domain,"",,,,,,
asm-3.3.1.jar,BSD-3-Clause,"",,,,,,
browscap-java-1.2.15.jar,MIT,"",,,,,,
cglib-2.2.2.jar,Apache-2.0,"",,,,,,
commons-beanutils-1.9.1.jar,Apache-2.0,"",,,,,,
commons-collections4-4.1.jar,Apache-2.0,"",,,,,,
commons-csv-1.6.jar,Apache-2.0,"",,,,,,
commons-dbcp-1.4.jar,Apache-2.0,"",,,,,,
commons-httpclient-2.0.2.jar,Apache-2.0,"",,,,,,
commons-lang3-3.9.jar,Apache-2.0,"",,,,,,
commons-logging-1.1.1.jar,Apache-2.0,"",,,,,,
commons-pool-1.5.4.jar,Apache-2.0,"",,,,,,
commons-text-1.8.jar,Apache-2.0,"",,,,,,
csi-apachesoap-1.4.6.jar,Apache-2.0,"",,,,,,
csi-core-1.4.6.jar,Apache-2.0,"",,,,,,
csi-ejb-1.4.6.jar,Apache-2.0,"",,,,,,
csi-rmi-1.4.6.jar,Apache-2.0,"",,,,,,
csi-stadapter-1.4.6.jar,Apache-2.0,"",,,,,,
ejb-2.1.jar,Libreria Java di Base,"",,,,,,
gson-2.2.4.jar,Apache-2.0,"",,,,,,
iridev2-2.0.0.jar,Apache-2.0,CSI-Piemonte,,,,,,
iridev2-pep-intf-2.0.0.jar,Apache-2.0,"",,,,,,
jaas-1.0.jar,Libreria Java di Base,"",,,,,,
jackson-annotations-2.6.2.jar,Apache-2.0,CSI-Piemonte,,,,,,
jackson-core-2.6.2.jar,Apache-2.0,"",,,,,,
jackson-core-asl-1.9.9.redhat-4.jar,Apache-2.0,"",,,,,,
jackson-databind-2.6.2.jar,Apache-2.0,"",,,,,,
jackson-dataformat-csv-2.6.2.jar,Apache-2.0,"",,,,,,
jackson-mapper-asl-1.9.9.redhat-4.jar,Apache-2.0,"",,,,,,
jaxp-1.1.jar,Libreria Java di Base,"",,,,,,
jettison-1.3.1.jar,Apache-2.0,"",,,,,,
jms-1.0.2b.jar,Libreria Java di Base,"",,,,,,
jndi-1.2.1.jar,Libreria Java di Base,"",,,,,,
jsr311-api-1.1.1.jar,CDDL-1.0,"",,,,,,
log4j-1.2.14.jar,Apache-2.0,"",,,,,,
mail-1.2.jar,Libreria Java di Base,"",,,,,,
mybatis-3.3.0.jar,Apache-2.0,"",,,,,,
mybatis-spring-1.2.2.jar,Apache-2.0,"",,,,,,
poi-3.17.jar,Apache-2.0,"",,,,,,
postgresql-42.2.6.jar,BSD-2-Clause,"",,,,,,
resteasy-jaxrs-2.3.10.Final-redhat-1.jar,Apache-2.0,"",,,,,,
servlet-2.4.jar,CDDL; GPL-2.0,"",,,,,,
servlet-api-2.5.jar,CDDL-1.0; GPL-2.0,"",,,,,,
soap-2.3.1.jar,Libreria Java di Base,"",,,,,,
spring-aop-3.1.1.RELEASE.jar,Apache-2.0,"",,,,,,
spring-core-3.1.1.RELEASE.jar,Apache-2.0,"",,,,,,
spring-tx-3.1.1.RELEASE.jar,Apache-2.0,"",,,,,,
swagger-annotations-1.5.18.jar,Apache-2.0,"",,,,,,
swagger-jaxrs-1.5.18.jar,Apache-2.0,"",,,,,,
util-perf-1.0.0.jar,Apache-2.0,"",,,,,,
validation-api-1.0.0.GA-redhat-3.jar,Apache-2.0,"",,,,,,
xerces-1.4.4.jar,Apache-2.0,"",,,,,,
xmlbeans-2.3.0.jar,Apache-2.0,"",,,,,,
